StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Luddy or not?,"other_department ","luddy_department ",sense of belonging _1,sense of belonging _2,sense of belonging _3,sense of belonging _4,sense of belonging _5,sense of belonging _6,sense of belonging _7,sense of belonging _8,sense of belonging _9,sense of belonging _10,sense of belonging _11,sense of belonging _12,sense of belonging _13,sense of belonging _14,sense of belonging _15,sense of belonging _16,Q19,Q12,Q13,Q15,Q16,Q17,Q14,Q6,Q10,Q10_4_TEXT,Q11,Q12,nationality,Q22
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a Luddy Student?,What is the name of your home department?,"If you are Luddy student, what is your home department/program?",Please rate your agreement with the following statements based on how you feel about the Luddy School. - People in the Luddy School notice when I am good at something,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Faculty and staff in the Luddy School value my opinions,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Other students in the Luddy School take my opinions seriously,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Most faculty and staff in the Luddy School are interested in me.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - There is at least one instructor or other faculty or staff member in the the Luddy School I can talk to if I have a problem.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - People in the Luddy School are friendly to me.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Students in the Luddy School help each other to succeed.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - I am treated with as much respect as other students.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - I have a good relationship with other students in the Luddy School.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - I can really be myself in the Luddy School.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - The faculty and staff in the Luddy School  respect me.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - People in the Luddy School know I can do good work.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - The instructors in the Luddy School give me compliments when I do something well.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - I feel proud of belonging to the Luddy School.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Other students in the Luddy School  like me the way I am.,Please rate your agreement with the following statements based on how you feel about the Luddy School. - Faculty and staff in the Luddy School really want me to succeed.,How many years have you been at IU?,I can master the content of the Luddy courses I am taking this semester,I could master the content of even the most challenging Luddy courses if I try,I can do a good job on all of my Luddy courses if I do not give up,I can do an excellent job on Luddy course-related problems and tasks assigned this semester,I can learn the content taught my Luddy courses,I can earn a good grade in the Luddy courses that I am taking this semester,For what course are you being asked to fill out this survey?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",Are you a domestic or international student?,"Here is your completion code for this survey.  It is not an identifier. This survey is completely anonymous.  However, if you are completing this survey as part of an IU course, you may be asked by your instructor for this code to verify that you have completed the survey:  Q2LUD2F-[int-1000:9000]"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_15""}","{""ImportId"":""QID5_16""}","{""ImportId"":""QID20""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID15""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23_TEXT""}"
2022-08-20 17:59:51,2022-08-20 18:00:09,IP Address,73.102.129.218,100,18,True,2022-08-20 18:00:10,R_bKndddVbYvd0OWZ,,,,,39.1397,-86.5141,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23 13:52:36,2022-08-23 13:53:01,Survey Preview,,100,25,True,2022-08-23 13:53:03,R_1r2qkSsjr1bFVj4,,,,,41.8874,-87.6318,preview,EN,"Yes, I am a student in the Luddy School",,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,i222,Non-binary / third gender,,White or Caucasian,No,,
2022-08-23 14:02:49,2022-08-23 14:03:33,Survey Preview,,100,43,True,2022-08-23 14:03:34,R_VWh5xFzPTtclQkx,,,,,41.8874,-87.6318,preview,EN,"No, I am a student in another school/department",philosophy,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,,,,,,,
2022-08-20 18:04:58,2022-08-23 15:15:53,IP Address,73.102.129.218,100,249054,True,2022-08-23 15:15:53,R_CmLRf9pq0acjmGl,,,,,39.1963,-86.5776,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-17 09:42:06,2022-08-17 14:07:08,IP Address,156.56.95.98,50,15901,False,2022-08-24 14:07:09,R_2S20nXLtLfB2Yyc,,,,,,,anonymous,EN,,,Intelligent Systems Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-26 12:52:18,2022-08-26 12:54:46,IP Address,129.79.197.132,100,147,True,2022-08-26 12:54:46,R_Wp8wlDv12zOGQCd,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes,Yes,Yes,Yes,Yes,Yes,test survey,Non-binary / third gender,,Prefer not to say,No,,
2022-08-26 12:54:57,2022-08-26 13:00:31,IP Address,129.79.197.132,100,333,True,2022-08-26 13:00:31,R_3iwYJ8aZxeS8EH1,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Yes,No,Yes,No,Yes,No,test survey,Prefer not to say,,White or Caucasian,Yes,,
2022-08-26 13:00:36,2022-08-26 13:02:43,IP Address,129.79.197.132,100,126,True,2022-08-26 13:02:43,R_0CzWY0PAdQf4Sl3,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Geology,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,test survey,Female,,Other,No,,
2022-08-24 07:39:47,2022-08-26 12:24:34,IP Address,156.56.95.98,13,189887,False,2022-09-02 12:24:36,R_1DHJGXUd7AIlWVO,,,,,,,anonymous,EN,"No, I am a student in another school/department",sdfsdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-26 13:04:50,2022-08-26 13:27:07,IP Address,129.79.197.132,33,1337,False,2022-09-02 13:27:08,R_1gMVSzQp4k5C5uL,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Intelligent Systems Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 08:50:44,2022-09-05 08:51:35,Survey Preview,,100,51,True,2022-09-05 08:51:36,R_2s4t8cmylKgOb0I,,,,,39.1397,-86.5141,preview,EN,"Yes, I am a student in the Luddy School",,Intelligent Systems Engineering,,,,,,,,,,,,,,,,,four years,,,,,,,,,,,,,
2022-09-05 09:08:09,2022-09-05 09:08:36,Survey Preview,,100,26,True,2022-09-05 09:08:36,R_2dGz8yyEMWNE9ue,,,,,39.1397,-86.5141,preview,EN,"No, I am a student in another school/department",sdfsdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-05 09:18:35,2022-09-05 09:19:22,IP Address,73.102.129.218,100,47,True,2022-09-05 09:19:23,R_1eWqPiwwjeHh7J5,,,,,39.1397,-86.5141,anonymous,EN,"No, I am a student in another school/department",test,,,,,,,,,,,,,,,,,,two years,,,,,,,,,,,,,
2022-09-07 07:08:18,2022-09-07 07:10:07,IP Address,129.79.197.103,100,109,True,2022-09-07 07:10:08,R_28YaIXHtfqaKXTZ,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,three years,Yes,No,Yes,Yes,Yes,Yes,i453,Female,,White or Caucasian,No,,
2022-09-07 07:08:28,2022-09-07 07:10:12,IP Address,129.79.197.105,100,103,True,2022-09-07 07:10:12,R_1118w5nw5Gl8wQw,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Info-453,Male,,"White or Caucasian,Asian",No,,
